timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
300380345,37973.215,141.02144,37,74971,3562,65536,0,3,127
301381352,38119.68,141.04103,37,75219,4183,65536,0,3,127
302382383,38267.227,141.0645,37,75465,4224,65536,0,3,127
303383353,38413.305,141.08241,37,75713,5286,65536,0,3,127
304384442,38562.33,141.11092,37,75961,3328,65536,0,3,127
305385345,38708.848,141.13016,37,76207,3942,65536,0,3,127
306386360,38857.188,141.15584,37,76455,2683,65536,0,3,127
307387384,39002.03,141.16866,37,76701,4811,65536,0,3,127
308388356,39150.285,141.19371,37,76949,3833,65536,0,3,127
309389402,39296.0,141.20943,37,77195,5078,65536,0,3,127
310390373,39445.914,141.2401,37,77443,2013,65536,0,3,127
311391350,39591.36,141.25461,37,77691,3925,65536,0,3,127
312392448,39737.184,141.27032,37,77937,5512,65536,0,3,127
313393360,39884.51,141.29132,37,78185,5290,65536,0,3,127
314394345,40032.51,141.3145,37,78431,4429,65536,0,3,127
315395353,40180.945,141.33905,37,78679,3034,65536,0,3,127
316396347,40329.246,141.36296,37,78925,1619,65536,0,3,127
317397383,40474.945,141.37758,37,79173,3368,65536,0,3,127
318398356,40619.785,141.38916,37,79421,5696,65536,0,3,127
319399372,40768.0,141.41234,37,79667,4254,65536,0,3,127
320400377,40913.89,141.42734,37,79915,5981,65536,0,3,127
321401397,41062.26,141.45074,37,80161,4042,65536,0,3,127
322402389,41207.89,141.46461,37,80409,6012,65536,0,3,127
323403346,41357.18,141.49092,37,80655,3380,65536,0,3,127
324404352,41502.11,141.50217,37,80903,6022,65536,0,3,127
325405383,41652.25,141.531,37,81151,2922,65536,0,3,127
326406391,41800.273,141.55252,37,81397,1985,65536,0,3,127
327407385,41945.652,141.56496,37,81645,3760,65536,0,3,127
328408379,42091.727,141.57965,37,81891,4639,65536,0,3,127
329409351,42240.0,141.60162,37,82139,3641,65536,0,3,127
330410481,42385.453,141.61397,37,82386,5591,65536,0,3,127
331411353,42535.363,141.64117,37,82633,2304,65536,0,3,127
332412583,42681.688,141.65614,37,82881,3814,65536,0,3,127
336416345,42809.742,140.21791,40,83869,2449,65536,0,3,127
337417566,42956.652,140.23921,40,84117,2921,65536,0,3,127
338418347,43102.438,140.2569,40,84363,4052,65536,0,3,127
339419354,43249.074,140.27713,40,84611,4539,65536,0,3,127
340420345,43396.004,140.2982,40,84857,4763,65536,0,3,127
341421356,43542.727,140.31842,40,85105,5634,65536,0,3,127
342422379,43691.16,140.34404,40,85351,3643,65536,0,3,127
343423347,43840.0,140.3708,40,85599,2620,65536,0,3,127
344424401,43985.203,140.38576,40,85847,4473,65536,0,3,127
345425347,44134.656,140.41418,40,86093,2033,65536,0,3,127
346426352,44281.98,140.43564,40,86341,2008,65536,0,3,127
347427380,44429.066,140.45622,40,86587,1850,65536,0,3,127
349429349,44693.51,140.40361,42,87081,3890,65536,0,3,127
350430353,44839.516,140.42072,42,87329,5405,65536,0,3,127
351431603,44989.055,140.44864,42,87577,2945,65536,0,3,127
352432393,45133.625,140.4611,42,87823,5079,65536,0,3,127
353433360,45283.094,140.48865,42,88071,3138,65536,0,3,127
354434350,45428.51,140.50345,42,88317,4677,65536,0,3,127
355435360,45576.43,140.52588,42,88565,4046,65536,0,3,127
356436370,45725.508,140.55173,42,88811,1846,65536,0,3,127
357437383,45869.844,140.56288,42,89059,4562,65536,0,3,127
358438356,46016.0,140.57956,42,89307,5777,65536,0,3,127
359439354,46166.117,140.60818,42,89553,2787,65536,0,3,127
360440559,46310.426,140.6189,42,89801,5657,65536,0,3,127
361441345,46460.562,140.64738,42,90047,2113,65536,0,3,127
362442383,46605.066,140.65858,42,90295,4786,65536,0,3,127
363443353,46754.188,140.68364,42,90541,3011,65536,0,3,127
364444381,46900.51,140.70012,42,90789,3981,65536,0,3,127
365445370,47048.395,140.72119,42,91037,3193,65536,0,3,127
366446368,47193.164,140.73285,42,91283,5236,65536,0,3,127
367447384,47343.465,140.76086,42,91531,2204,65536,0,3,127
368448348,47488.0,140.77165,42,91777,4635,65536,0,3,127
369449359,47637.47,140.79694,42,92025,2644,65536,0,3,127
370450344,47783.22,140.81113,42,92271,3625,65536,0,3,127
371451351,47931.754,140.8334,42,92519,2138,65536,0,3,127
372452405,48077.22,140.84653,42,92767,4274,65536,0,3,127
373453362,48222.918,140.8603,42,93013,5770,65536,0,3,127
374454358,48370.633,140.87988,42,93261,5127,65536,0,3,127
375455415,48516.65,140.89435,42,93507,5704,65536,0,3,127
376456353,48666.723,140.92056,42,93755,3283,65536,0,3,127
377457482,48812.504,140.93411,42,94003,4569,65536,0,3,127
378458355,48960.0,140.95267,42,94249,4114,65536,0,3,127
379459356,49104.97,140.96379,42,94497,6524,65536,0,3,127
380460346,49256.156,140.99266,42,94743,2038,65536,0,3,127
381461356,49399.84,140.99992,42,94991,5930,65536,0,3,127
382462385,49548.805,141.02219,42,95237,4099,65536,0,3,127
383463348,49698.18,141.0455,42,95485,1845,65536,0,3,127
384465013,49843.297,141.05637,42,95733,3817,65536,0,3,127
385465344,49988.35,141.06752,42,95979,6000,65536,0,3,127
386466358,50138.72,141.09328,42,96227,2638,65536,0,3,127
387467425,50283.64,141.1036,42,96473,4725,65536,0,3,127
388468357,50432.0,141.12354,42,96721,4132,65536,0,3,127
389469348,50580.824,141.14462,42,96967,1742,65536,0,3,127
390470344,50726.28,141.15623,42,97215,3258,65536,0,3,127
391471378,50825.44,141.0393,42,97463,52596,65536,0,3,127
