timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
113096587,113096587,43,0,0,0,1465,1530,995,1507,995,995,1995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
113604649,113604649,43,0,0,0,1465,1530,995,1508,995,995,1995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
116610773,116610773,43,0,0,0,1465,1530,995,1517,995,995,1995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
118101571,118101571,43,0,0,0,1465,1530,995,1510,995,995,995,995,1495,1465,995,1995,995,1465,995,995,998,998,18,0,0,4
118590367,118590367,43,0,0,0,1465,1530,995,1504,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
119103640,119103640,43,0,0,0,1465,1530,995,1508,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
119592427,119592427,43,0,0,0,1465,1530,995,1520,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
120105733,120105733,43,0,0,0,1465,1530,995,1519,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
120594449,120594449,43,0,0,0,1465,1530,995,1510,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
121107713,121107713,43,0,0,0,1489,1382,995,1514,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
121596522,121596522,43,0,0,0,1465,1477,995,1513,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
122109786,122109786,43,0,0,0,1465,1526,995,1520,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
122598605,122598605,43,0,0,0,1465,1530,995,1521,995,995,1995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
123111820,123111820,43,0,0,0,1465,1530,995,1516,995,995,1995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
123600611,123600611,43,0,0,0,1465,1530,995,1515,995,995,1995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
124089371,124089371,43,0,0,0,1465,1530,995,1516,995,995,1995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
124602611,124602611,43,0,0,0,1465,1530,995,1521,995,995,1995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
125091500,125091500,43,0,0,0,1465,1530,995,1524,995,995,1995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
125604673,125604673,43,0,0,0,1465,1530,995,1525,995,995,1995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
126093504,126093504,43,0,0,0,1465,1530,995,1527,995,995,1995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
126606740,126606740,43,0,0,0,1465,1530,995,1527,995,995,1995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
127095496,127095496,43,0,0,0,1465,1530,995,1528,995,995,1995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
127608836,127608836,43,0,0,0,1465,1530,995,1486,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
128097536,128097536,43,0,0,0,1465,1526,1438,1518,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
128610795,128610795,43,0,0,0,1465,1530,1529,1510,995,995,995,995,1495,1468,995,1995,995,1468,995,995,998,998,18,0,0,4
129099640,129099640,44,0,0,0,1465,1523,1826,1533,995,995,995,995,1495,1466,995,1995,995,1466,995,995,998,998,18,0,0,4
129588377,129588377,44,0,0,0,1465,1419,1847,1556,995,995,995,995,1495,1467,995,1995,995,1467,995,995,998,998,18,0,0,4
130101667,130101667,43,0,0,0,1489,1394,1863,1546,995,995,995,995,1495,1467,995,1995,995,1467,995,995,998,998,18,0,0,4
130590406,130590406,43,0,0,0,1661,1444,1865,1563,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
131103675,131103675,43,0,0,0,1775,1427,1851,1576,995,995,995,995,1495,1495,995,1995,995,1495,995,995,998,998,18,0,0,4
