timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
894009799,-0.03615439,-0.1366218,0.47667018
894029795,-0.03615439,-0.13063848,0.4661005
894049793,-0.03615439,-0.13063848,0.45855075
894069793,-0.030207647,-0.12315935,0.45855075
894089796,-0.027234277,-0.12315935,0.46459055
894109795,-0.037641075,-0.13811764,0.46761045
894129794,-0.037641075,-0.13811764,0.46761045
894149777,-0.034667704,-0.13811764,0.45251095
894169793,-0.028720962,-0.12615103,0.4540209
894189867,-0.028720962,-0.12615103,0.4540209
894209801,-0.03615439,-0.13961345,0.4630806
894229796,-0.019800847,-0.13811764,0.4630806
894249781,-0.028720962,-0.13512596,0.4630806
894269794,-0.037641075,-0.13811764,0.4721403
894289792,-0.037641075,-0.13811764,0.4721403
894309796,-0.028720962,-0.14559679,0.4630806
894329794,-0.021287533,-0.12615103,0.46006072
894349794,-0.021287533,-0.12615103,0.46006072
894369777,-0.028720962,-0.14410095,0.4630806
894389794,-0.028720962,-0.13213432,0.45704082
894409793,-0.03615439,-0.15158011,0.4630806
894429795,-0.03615439,-0.15158011,0.4630806
894449795,-0.028720962,-0.14260514,0.45704082
894469810,-0.028720962,-0.14260514,0.45704082
894489794,-0.037641075,-0.14110929,0.46459055
894509793,-0.016827475,-0.14410095,0.45855075
894529796,-0.016827475,-0.14410095,0.45855075
894549795,-0.02574759,-0.14559679,0.45704082
894569832,-0.022774218,-0.14709263,0.46761045
894589777,-0.030207647,-0.14709263,0.45855075
894609793,-0.030207647,-0.14709263,0.45855075
894629831,-0.04061445,-0.14709263,0.47365028
894649796,-0.04061445,-0.14709263,0.47365028
894669794,-0.03615439,-0.15008427,0.4721403
894689780,-0.034667704,-0.14410095,0.46761045
894709793,-0.030207647,-0.14709263,0.4630806
894729793,-0.030207647,-0.14709263,0.4630806
894749797,-0.028720962,-0.15158011,0.4540209
894769794,-0.028720962,-0.15158011,0.4540209
894789822,-0.037641075,-0.1575634,0.44345123
894809819,-0.03169433,-0.15008427,0.4630806
894829784,-0.03169433,-0.15008427,0.4630806
894849795,-0.028720962,-0.14110929,0.46459055
894869796,-0.028720962,-0.14410095,0.45855075
894889796,-0.03615439,-0.14260514,0.4661005
894909780,-0.03615439,-0.14260514,0.4661005
894929794,-0.028720962,-0.15008427,0.4630806
894949793,-0.028720962,-0.14709263,0.4630806
894969801,-0.028720962,-0.14709263,0.4630806
894989803,-0.037641075,-0.14110929,0.44949102
895009795,-0.03169433,-0.14260514,0.4661005
895029793,-0.027234277,-0.13512596,0.46761045
895049796,-0.027234277,-0.13512596,0.46761045
895069797,-0.04656119,-0.15008427,0.45704082
895089797,-0.04656119,-0.15008427,0.45704082
895109796,-0.04061445,-0.13811764,0.45855075
895129779,-0.04061445,-0.13811764,0.45855075
895149794,-0.022774218,-0.13811764,0.46459055
895169793,-0.02574759,-0.14559679,0.46006072
895189799,-0.02574759,-0.14559679,0.46006072
895209795,-0.034667704,-0.13811764,0.45553085
895229795,-0.028720962,-0.14709263,0.4630806
895249792,-0.028720962,-0.14709263,0.4630806
895269792,-0.022774218,-0.15307592,0.46761045
895289796,-0.02574759,-0.13961345,0.46006072
