timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1030109064,5.0738707,0.0,0,0,3,0,0,0,0
1030609469,5.0683317,0.0,0,0,3,0,0,0,0
1031109064,5.0753813,0.0,0,0,3,0,0,0,0
1031609066,5.0739713,0.0,0,0,3,0,0,0,0
1032109065,5.081726,0.0,0,0,3,0,0,0,0
1032609065,5.072763,0.0,0,0,3,0,0,0,0
1033109065,5.030566,0.0,0,0,3,0,0,0,0
1033609091,5.0792084,0.0,0,0,3,0,0,0,0
1034109075,5.0661163,0.0,0,0,3,0,0,0,0
1034609110,5.062491,0.0,0,0,3,0,0,0,0
1035109064,5.0738707,0.0,0,0,3,0,0,0,0
1035609091,5.0716553,0.0,0,0,3,0,0,0,0
1036109064,5.053125,0.0,0,0,3,0,0,0,0
1036609139,5.0760865,0.0,0,0,3,0,0,0,0
1037109066,5.0314727,0.0,0,0,3,0,0,0,0
1037609067,5.0508084,0.0,0,0,3,0,0,0,0
1038109065,5.077899,0.0,0,0,3,0,0,0,0
1038609064,5.016266,0.0,0,0,3,0,0,0,0
1039109064,5.111032,0.0,0,0,3,0,0,0,0
1039609092,5.070346,0.0,0,0,3,0,0,0,0
1040109065,5.076489,0.0,0,0,3,0,0,0,0
1040609067,5.085049,0.0,0,0,3,0,0,0,0
1041109065,5.080115,0.0,0,0,3,0,0,0,0
1041609091,5.0684323,0.0,0,0,3,0,0,0,0
1042109064,5.061383,0.0,0,0,3,0,0,0,0
1042609070,5.1150603,0.0,0,0,3,0,0,0,0
1043109065,5.072058,0.0,0,0,3,0,0,0,0
1043609067,5.0781007,0.0,0,0,3,0,0,0,0
1044109065,5.078302,0.0,0,0,3,0,0,0,0
1044609066,5.071957,0.0,0,0,3,0,0,0,0
1045109064,5.0470824,0.0,0,0,3,0,0,0,0
1045609065,5.059671,0.0,0,0,3,0,0,0,0
1046109294,5.03963,0.0,0,0,3,0,0,0,0
1046609067,5.0539308,0.0,0,0,3,0,0,0,0
1047109066,5.0423493,0.0,0,0,3,0,0,0,0
1047609066,5.0253296,0.0,0,0,3,0,0,0,0
1048109065,5.023416,0.0,0,0,3,0,0,0,0
1048609067,4.987967,0.0,0,0,3,0,0,0,0
1049109064,5.018884,0.0,0,0,3,0,0,0,0
1049609067,5.0187836,0.0,0,0,3,0,0,0,0
1050109087,5.0304656,0.0,0,0,3,0,0,0,0
1050609067,5.011734,0.0,0,0,3,0,0,0,0
1051109064,5.0231137,0.0,0,0,3,0,0,0,0
1051609066,5.0249267,0.0,0,0,3,0,0,0,0
1052109065,5.0270414,0.0,0,0,3,0,0,0,0
1052609065,5.039227,0.0,0,0,3,0,0,0,0
1053109065,5.0419464,0.0,0,0,3,0,0,0,0
1053609066,5.010928,0.0,0,0,3,0,0,0,0
1054109064,5.0509095,0.0,0,0,3,0,0,0,0
1054609072,5.067627,0.0,0,0,3,0,0,0,0
1055109065,5.020294,0.0,0,0,3,0,0,0,0
1055609067,5.0398316,0.0,0,0,3,0,0,0,0
1056109065,5.0304656,0.0,0,0,3,0,0,0,0
1056609065,5.0290556,0.0,0,0,3,0,0,0,0
1057109066,4.9979367,0.0,0,0,3,0,0,0,0
1060109064,5.076489,0.0,0,0,3,0,0,0,0
1060609066,5.0728636,0.0,0,0,3,0,0,0,0
1061109064,5.0833373,0.0,0,0,3,0,0,0,0
1061609067,5.0736694,0.0,0,0,3,0,0,0,0
1062109064,5.0769925,0.0,0,0,3,0,0,0,0
1062609066,5.0653105,0.0,0,0,3,0,0,0,0
1063109067,5.015259,0.0,0,0,3,0,0,0,0
1063609065,5.0716553,0.0,0,0,3,0,0,0,0
1064109065,5.078503,0.0,0,0,3,0,0,0,0
1064609066,5.0748777,0.0,0,0,3,0,0,0,0
1065109065,5.074475,0.0,0,0,3,0,0,0,0
1065609066,5.0815244,0.0,0,0,3,0,0,0,0
1066109065,5.0800138,0.0,0,0,3,0,0,0,0
1066609065,5.1153626,0.0,0,0,3,0,0,0,0
1067109070,5.0776978,0.0,0,0,3,0,0,0,0
1067609086,5.071353,0.0,0,0,3,0,0,0,0
1068109065,5.072159,0.0,0,0,3,0,0,0,0
1068609065,5.0806184,0.0,0,0,3,0,0,0,0
1069109065,5.1084137,0.0,0,0,3,0,0,0,0
1069609064,5.0740724,0.0,0,0,3,0,0,0,0
1070109408,5.0587645,0.0,0,0,3,0,0,0,0
1070609064,5.074475,0.0,0,0,3,0,0,0,0
1071109065,5.0752807,0.0,0,0,3,0,0,0,0
1071609066,5.0748777,0.0,0,0,3,0,0,0,0
1072109065,5.066418,0.0,0,0,3,0,0,0,0
1072609065,5.1107297,0.0,0,0,3,0,0,0,0
1073109090,5.0494995,0.0,0,0,3,0,0,0,0
1073609066,5.0526214,0.0,0,0,3,0,0,0,0
1074109065,5.0539308,0.0,0,0,3,0,0,0,0
1074609066,5.0245237,0.0,0,0,3,0,0,0,0
1075109086,5.0091157,0.0,0,0,3,0,0,0,0
1075609066,5.0556426,0.0,0,0,3,0,0,0,0
1076109077,5.0540314,0.0,0,0,3,0,0,0,0
1076609065,5.059067,0.0,0,0,3,0,0,0,0
1077109066,5.0708494,0.0,0,0,3,0,0,0,0
1077609066,5.05242,0.0,0,0,3,0,0,0,0
1078109064,5.065613,0.0,0,0,3,0,0,0,0
1078609064,5.113046,0.0,0,0,3,0,0,0,0
1079109110,5.067929,0.0,0,0,3,0,0,0,0
1079609066,5.0599732,0.0,0,0,3,0,0,0,0
1080109064,5.062088,0.0,0,0,3,0,0,0,0
1080609066,5.042752,0.0,0,0,3,0,0,0,0
1081109104,5.0153594,0.0,0,0,3,0,0,0,0
1081609066,5.0863585,0.0,0,0,3,0,0,0,0
1082109227,5.079309,0.0,0,0,3,0,0,0,0
1082609064,5.069037,0.0,0,0,3,0,0,0,0
1083109067,5.0724607,0.0,0,0,3,0,0,0,0
1083609066,5.0738707,0.0,0,0,3,0,0,0,0
1084109064,5.0794096,0.0,0,0,3,0,0,0,0
1084609066,5.089682,0.0,0,0,3,0,0,0,0
1085109090,5.070346,0.0,0,0,3,0,0,0,0
1085609194,5.070648,0.0,0,0,3,0,0,0,0
1086109099,5.0753813,0.0,0,0,3,0,0,0,0
1086609066,5.0657134,0.0,0,0,3,0,0,0,0
1087109089,5.0767913,0.0,0,0,3,0,0,0,0
1087609071,5.0739713,0.0,0,0,3,0,0,0,0
1088109119,5.0560455,0.0,0,0,3,0,0,0,0
1088609064,5.0725617,0.0,0,0,3,0,0,0,0
1089109065,5.078503,0.0,0,0,3,0,0,0,0
1089609064,5.0752807,0.0,0,0,3,0,0,0,0
1090109065,5.0704465,0.0,0,0,3,0,0,0,0
1090609065,5.0954223,0.0,0,0,3,0,0,0,0
1091109099,5.074374,0.0,0,0,3,0,0,0,0
1091609065,5.078503,0.0,0,0,3,0,0,0,0
1092109087,5.0781007,0.0,0,0,3,0,0,0,0
1092609066,5.0847473,0.0,0,0,3,0,0,0,0
1093109090,5.068634,0.0,0,0,3,0,0,0,0
1093609065,5.0752807,0.0,0,0,3,0,0,0,0
1094109463,5.075784,0.0,0,0,3,0,0,0,0
1094609067,5.0832367,0.0,0,0,3,0,0,0,0
1095109065,5.0805173,0.0,0,0,3,0,0,0,0
1095609066,5.080316,0.0,0,0,3,0,0,0,0
1096109065,5.069641,0.0,0,0,3,0,0,0,0
1096609067,5.036911,0.0,0,0,3,0,0,0,0
1097109088,5.078705,0.0,0,0,3,0,0,0,0
1097609092,5.0805173,0.0,0,0,3,0,0,0,0
1098109111,5.072058,0.0,0,0,3,0,0,0,0
1098609064,5.0788054,0.0,0,0,3,0,0,0,0
1099109092,5.069339,0.0,0,0,3,0,0,0,0
1099609066,5.06521,0.0,0,0,3,0,0,0,0
1100109064,5.115564,0.0,0,0,3,0,0,0,0
1100609066,5.0742736,0.0,0,0,3,0,0,0,0
1101109067,5.0781007,0.0,0,0,3,0,0,0,0
1101609068,5.0767913,0.0,0,0,3,0,0,0,0
1102109067,5.070346,0.0,0,0,3,0,0,0,0
1102609066,5.1150603,0.0,0,0,3,0,0,0,0
1103109065,5.0773954,0.0,0,0,3,0,0,0,0
1103609067,5.074374,0.0,0,0,3,0,0,0,0
1104109065,5.06239,0.0,0,0,3,0,0,0,0
1104609066,5.0728636,0.0,0,0,3,0,0,0,0
1105109064,5.0714536,0.0,0,0,3,0,0,0,0
1105609066,5.047586,0.0,0,0,3,0,0,0,0
1106109066,4.990283,0.0,0,0,3,0,0,0,0
1106609066,5.0098205,0.0,0,0,3,0,0,0,0
1107109067,5.01405,0.0,0,0,3,0,0,0,0
1107609066,5.0539308,0.0,0,0,3,0,0,0,0
1108109090,5.0462766,0.0,0,0,3,0,0,0,0
1108609065,5.0301633,0.0,0,0,3,0,0,0,0
1109109065,5.0546355,0.0,0,0,3,0,0,0,0
1109609339,5.0449677,0.0,0,0,3,0,0,0,0
1110109065,5.0290556,0.0,0,0,3,0,0,0,0
1110609067,5.046881,0.0,0,0,3,0,0,0,0
1111109065,5.0302644,0.0,0,0,3,0,0,0,0
1111609064,5.044867,0.0,0,0,3,0,0,0,0
1112109065,5.050305,0.0,0,0,3,0,0,0,0
1112609066,5.0236173,0.0,0,0,3,0,0,0,0
1113109066,5.0204954,0.0,0,0,3,0,0,0,0
1113609065,5.0270414,0.0,0,0,3,0,0,0,0
1114109064,5.0486937,0.0,0,0,3,0,0,0,0
1114609065,4.977896,0.0,0,0,3,0,0,0,0
1115109065,5.0233154,0.0,0,0,3,0,0,0,0
1115609066,5.0207977,0.0,0,0,3,0,0,0,0
1116109064,5.033386,0.0,0,0,3,0,0,0,0
1116609067,5.030566,0.0,0,0,3,0,0,0,0
1117109065,5.027243,0.0,0,0,3,0,0,0,0
1117609066,5.026538,0.0,0,0,3,0,0,0,0
1118109066,4.970041,0.0,0,0,3,0,0,0,0
1118609078,5.0501037,0.0,0,0,3,0,0,0,0
1119109065,5.0453706,0.0,0,0,3,0,0,0,0
1119609067,5.0080075,0.0,0,0,3,0,0,0,0
1120109065,5.0381193,0.0,0,0,3,0,0,0,0
1120609066,5.002368,0.0,0,0,3,0,0,0,0
1121109066,5.0332856,0.0,0,0,3,0,0,0,0
1121609315,5.027545,0.0,0,0,3,0,0,0,0
