timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
604272653,31084,1,1,1,0,0,0,0,1
604778654,31084,1,1,1,0,0,0,0,1
605284832,31084,1,1,1,0,0,0,0,1
605790664,31084,1,1,1,0,0,0,0,1
606296667,31084,1,1,1,0,0,0,0,1
606802699,31084,1,1,1,0,0,0,0,1
607308670,31084,1,1,1,0,0,0,0,1
607814652,31084,1,1,1,0,0,0,0,1
608320888,31084,1,1,1,0,0,0,0,1
608826652,31084,1,1,1,0,0,0,0,1
609332678,31084,1,1,1,0,0,0,0,1
609838652,31084,1,1,1,0,0,0,0,1
610344671,31084,1,1,1,0,0,0,0,1
610850666,31084,1,1,1,0,0,0,0,1
611356651,31084,1,1,1,0,0,0,0,1
611862656,31084,1,1,1,0,0,0,0,1
612368672,31084,1,1,1,0,0,0,0,1
612874651,31084,1,1,1,0,0,0,0,1
613380653,31084,1,1,1,0,0,0,0,1
613886675,31084,1,1,1,0,0,0,0,1
614392652,31084,1,1,1,0,0,0,0,1
614898653,31084,1,1,1,0,0,0,0,1
615404652,31084,1,1,1,0,0,0,0,1
615910656,31084,1,1,1,0,0,0,0,1
616416692,31084,1,1,1,0,0,0,0,1
616922653,31084,1,1,1,0,0,0,0,1
617428671,31084,1,1,1,0,0,0,0,1
617934652,31084,1,1,1,0,0,0,0,1
618440744,31084,1,1,1,0,0,0,0,1
618946778,31084,1,1,1,0,0,0,0,1
619452653,31084,1,1,1,0,0,0,0,1
619959170,31084,1,1,1,0,0,0,0,1
620464652,31084,1,1,1,0,0,0,0,1
620970669,31084,1,1,1,0,0,0,0,1
621476668,31084,1,1,1,0,0,0,0,1
621982758,31084,1,1,1,0,0,0,0,1
622488672,31084,1,1,1,0,0,0,0,1
622994648,31084,1,1,1,0,0,0,0,1
627042718,31084,1,1,1,0,0,0,0,1
627548684,31084,1,1,1,0,0,0,0,1
628054651,31084,1,1,1,0,0,0,0,1
628560654,31084,1,1,1,0,0,0,0,1
629066652,31084,1,1,1,0,0,0,0,1
629572653,31084,1,1,1,0,0,0,0,1
630078653,31084,1,1,1,0,0,0,0,1
630584653,31084,1,1,1,0,0,0,0,1
631090652,31084,1,1,1,0,0,0,0,1
631596653,31084,1,1,1,0,0,0,0,1
632102757,31084,1,1,1,0,0,0,0,1
632608913,31084,1,1,1,0,0,0,0,1
633114669,31084,1,1,1,0,0,0,0,1
633621101,31084,1,1,1,0,0,0,0,1
634126653,31084,1,1,1,0,0,0,0,1
634632652,31084,1,1,1,0,0,0,0,1
635138652,31084,1,1,1,0,0,0,0,1
635644652,31084,1,1,1,0,0,0,0,1
636150651,31084,1,1,1,0,0,0,0,1
636656652,31084,1,1,1,0,0,0,0,1
637162653,31084,1,1,1,0,0,0,0,1
637668671,31084,1,1,1,0,0,0,0,1
638174651,31084,1,1,1,0,0,0,0,1
638680679,31084,1,1,1,0,0,0,0,1
639186670,31084,1,1,1,0,0,0,0,1
639692652,31084,1,1,1,0,0,0,0,1
640198652,31084,1,1,1,0,0,0,0,1
641210651,31084,1,1,1,0,0,0,0,1
641716652,31084,1,1,1,0,0,0,0,1
642222653,31084,1,1,1,0,0,0,0,1
642728671,31084,1,1,1,0,0,0,0,1
643234679,31084,1,1,1,0,0,0,0,1
643740652,31084,1,1,1,0,0,0,0,1
644246670,31084,1,1,1,0,0,0,0,1
644752694,31084,1,1,1,0,0,0,0,1
645259219,31084,1,1,1,0,0,0,0,1
645764666,31084,1,1,1,0,0,0,0,1
646270843,31084,1,1,1,0,0,0,0,1
646776674,31084,1,1,1,0,0,0,0,1
647283031,31084,1,1,1,0,0,0,0,1
647788672,31084,1,1,1,0,0,0,0,1
648294651,31084,1,1,1,0,0,0,0,1
648800651,31084,1,1,1,0,0,0,0,1
649306653,31084,1,1,1,0,0,0,0,1
649812694,31084,1,1,1,0,0,0,0,1
650318652,31084,1,1,1,0,0,0,0,1
650824654,31084,1,1,1,0,0,0,0,1
651330654,31084,1,1,1,0,0,0,0,1
651836651,31084,1,1,1,0,0,0,0,1
652342652,31084,1,1,1,0,0,0,0,1
652848671,31084,1,1,1,0,0,0,0,1
653354651,31084,1,1,1,0,0,0,0,1
653860652,31084,1,1,1,0,0,0,0,1
654366697,31084,1,1,1,0,0,0,0,1
654872651,31084,1,1,1,0,0,0,0,1
655378670,31084,1,1,1,0,0,0,0,1
655884669,31084,1,1,1,0,0,0,0,1
656390653,31084,1,1,1,0,0,0,0,1
656896652,31084,1,1,1,0,0,0,0,1
657402653,31084,1,1,1,0,0,0,0,1
657908671,31084,1,1,1,0,0,0,0,1
658414812,31084,1,1,1,0,0,0,0,1
658920997,31084,1,1,1,0,0,0,0,1
659426670,31084,1,1,1,0,0,0,0,1
659932657,31084,1,1,1,0,0,0,0,1
660438667,31084,1,1,1,0,0,0,0,1
660944932,31084,1,1,1,0,0,0,0,1
661450652,31084,1,1,1,0,0,0,0,1
661956652,31084,1,1,1,0,0,0,0,1
662462653,31084,1,1,1,0,0,0,0,1
662968672,31084,1,1,1,0,0,0,0,1
663474669,31084,1,1,1,0,0,0,0,1
663980651,31084,1,1,1,0,0,0,0,1
664486651,31084,1,1,1,0,0,0,0,1
664992654,31084,1,1,1,0,0,0,0,1
665498653,31084,1,1,1,0,0,0,0,1
666004669,31084,1,1,1,0,0,0,0,1
666510670,31084,1,1,1,0,0,0,0,1
667016669,31084,1,1,1,0,0,0,0,1
667522708,31084,1,1,1,0,0,0,0,1
668028680,31084,1,1,1,0,0,0,0,1
668534652,31084,1,1,1,0,0,0,0,1
669040671,31084,1,1,1,0,0,0,0,1
669546653,31084,1,1,1,0,0,0,0,1
670052746,31084,1,1,1,0,0,0,0,1
670558652,31084,1,1,1,0,0,0,0,1
671064652,31084,1,1,1,0,0,0,0,1
671570670,31084,1,1,1,0,0,0,0,1
672076747,31084,1,1,1,0,0,0,0,1
672582815,31084,1,1,1,0,0,0,0,1
673088670,31084,1,1,1,0,0,0,0,1
673594853,31084,1,1,1,0,0,0,0,1
674100652,31084,1,1,1,0,0,0,0,1
674606652,31084,1,1,1,0,0,0,0,1
675112698,31084,1,1,1,0,0,0,0,1
675618747,31084,1,1,1,0,0,0,0,1
676124649,31084,1,1,1,0,0,0,0,1
676630654,31084,1,1,1,0,0,0,0,1
677136668,31084,1,1,1,0,0,0,0,1
677642696,31084,1,1,1,0,0,0,0,1
678148670,31084,1,1,1,0,0,0,0,1
678654652,31084,1,1,1,0,0,0,0,1
679160674,31084,1,1,1,0,0,0,0,1
679666652,31084,1,1,1,0,0,0,0,1
680172654,31084,1,1,1,0,0,0,0,1
680678665,31084,1,1,1,0,0,0,0,1
681184693,31084,1,1,1,0,0,0,0,1
681690654,31084,1,1,1,0,0,0,0,1
682196653,31084,1,1,1,0,0,0,0,1
683208672,31084,1,1,1,0,0,0,0,1
683714653,31084,1,1,1,0,0,0,0,1
684220691,31084,1,1,1,0,0,0,0,1
684726652,31084,1,1,1,0,0,0,0,1
685232654,31084,1,1,1,0,0,0,0,1
685738730,31084,1,1,1,0,0,0,0,1
686244749,31084,1,1,1,0,0,0,0,1
686750654,31084,1,1,1,0,0,0,0,1
687256651,31084,1,1,1,0,0,0,0,1
687762652,31084,1,1,1,0,0,0,0,1
688268688,31084,1,1,1,0,0,0,0,1
688774688,31084,1,1,1,0,0,0,0,1
689280764,31084,1,1,1,0,0,0,0,1
689786651,31084,1,1,1,0,0,0,0,1
690292652,31084,1,1,1,0,0,0,0,1
690798655,31084,1,1,1,0,0,0,0,1
691304651,31084,1,1,1,0,0,0,0,1
691810650,31084,1,1,1,0,0,0,0,1
692316652,31084,1,1,1,0,0,0,0,1
692822654,31084,1,1,1,0,0,0,0,1
693328670,31084,1,1,1,0,0,0,0,1
693834653,31084,1,1,1,0,0,0,0,1
694340652,31084,1,1,1,0,0,0,0,1
694846649,31084,1,1,1,0,0,0,0,1
697882652,31084,1,1,1,0,0,0,0,1
698388682,31084,1,1,1,0,0,0,0,1
698894890,31084,1,1,1,0,0,0,0,1
699400738,31084,1,1,1,0,0,0,0,1
699906753,31084,1,1,1,0,0,0,0,1
700412649,31084,1,1,1,0,0,0,0,1
700918652,31084,1,1,1,0,0,0,0,1
701424655,31084,1,1,1,0,0,0,0,1
701930653,31084,1,1,1,0,0,0,0,1
702436652,31084,1,1,1,0,0,0,0,1
702942653,31084,1,1,1,0,0,0,0,1
703448669,31084,1,1,1,0,0,0,0,1
703954653,31084,1,1,1,0,0,0,0,1
704460670,31084,1,1,1,0,0,0,0,1
704966650,31084,1,1,1,0,0,0,0,1
705472654,31084,1,1,1,0,0,0,0,1
705978678,31084,1,1,1,0,0,0,0,1
706485653,31084,1,1,1,0,0,0,0,1
706991741,31084,1,1,1,0,0,0,0,1
707497795,31084,1,1,1,0,0,0,0,1
708003649,31084,1,1,1,0,0,0,0,1
708509737,31084,1,1,1,0,0,0,0,1
709015670,31084,1,1,1,0,0,0,0,1
709521889,31084,1,1,1,0,0,0,0,1
710027710,31084,1,1,1,0,0,0,0,1
710533654,31084,1,1,1,0,0,0,0,1
711039652,31084,1,1,1,0,0,0,0,1
711545653,31084,1,1,1,0,0,0,0,1
712051650,31084,1,1,1,0,0,0,0,1
712557654,31084,1,1,1,0,0,0,0,1
713063654,31084,1,1,1,0,0,0,0,1
713569651,31084,1,1,1,0,0,0,0,1
714075661,31084,1,1,1,0,0,0,0,1
714581652,31084,1,1,1,0,0,0,0,1
715087651,31084,1,1,1,0,0,0,0,1
715593651,31084,1,1,1,0,0,0,0,1
716099673,31084,1,1,1,0,0,0,0,1
716605653,31084,1,1,1,0,0,0,0,1
717111651,31084,1,1,1,0,0,0,0,1
717617678,31084,1,1,1,0,0,0,0,1
718123652,31084,1,1,1,0,0,0,0,1
718629652,31084,1,1,1,0,0,0,0,1
719135656,31084,1,1,1,0,0,0,0,1
719641653,31084,1,1,1,0,0,0,0,1
720148060,31084,1,1,1,0,0,0,0,1
720653729,31084,1,1,1,0,0,0,0,1
721159733,31084,1,1,1,0,0,0,0,1
721665653,31084,1,1,1,0,0,0,0,1
722171753,31084,1,1,1,0,0,0,0,1
722677652,31084,1,1,1,0,0,0,0,1
723183965,31084,1,1,1,0,0,0,0,1
723689673,31084,1,1,1,0,0,0,0,1
724195653,31084,1,1,1,0,0,0,0,1
724701660,31084,1,1,1,0,0,0,0,1
725207654,31084,1,1,1,0,0,0,0,1
725713653,31084,1,1,1,0,0,0,0,1
726219651,31084,1,1,1,0,0,0,0,1
726725652,31084,1,1,1,0,0,0,0,1
727231679,31084,1,1,1,0,0,0,0,1
727737651,31084,1,1,1,0,0,0,0,1
728243652,31084,1,1,1,0,0,0,0,1
728749652,31084,1,1,1,0,0,0,0,1
729255656,31084,1,1,1,0,0,0,0,1
729761653,31084,1,1,1,0,0,0,0,1
730267652,31084,1,1,1,0,0,0,0,1
730773653,31084,1,1,1,0,0,0,0,1
731279652,31084,1,1,1,0,0,0,0,1
731785679,31084,1,1,1,0,0,0,0,1
732291652,31084,1,1,1,0,0,0,0,1
732797654,31084,1,1,1,0,0,0,0,1
733303654,31084,1,1,1,0,0,0,0,1
733809676,31084,1,1,1,0,0,0,0,1
734315671,31084,1,1,1,0,0,0,0,1
734822180,31084,1,1,1,0,0,0,0,1
735327678,31084,1,1,1,0,0,0,0,1
735833652,31084,1,1,1,0,0,0,0,1
736339653,31084,1,1,1,0,0,0,0,1
736845653,31084,1,1,1,0,0,0,0,1
737351651,31084,1,1,1,0,0,0,0,1
737857652,31084,1,1,1,0,0,0,0,1
