timestamp,timestamp_sample,device_id,error_count,pressure,temperature
282100370,282100360,3997706,0,1022.41,42.84
283105361,283105351,3997706,0,1022.56,42.85
284111270,284111260,3997706,0,1022.57,42.85
285106486,285106476,3997706,0,1022.38,42.86
286111715,286111705,3997706,0,1022.18,42.86
287107161,287107151,3997706,0,1021.76996,42.86
288112337,288112326,3997706,0,1021.25,42.86
290103014,290103004,3997706,0,1020.37,42.87
291108709,291108699,3997706,0,1019.74,42.87
292104163,292104153,3997706,0,1019.44,42.87
293109152,293109142,3997706,0,1019.1,42.879997
294105050,294105039,3997706,0,1018.82996,42.879997
295110008,295109998,3997706,0,1018.6,42.89
297101149,297101139,3997706,0,1017.89996,42.89
298106355,298106345,3997706,0,1017.57996,42.89
299111598,299111588,3997706,0,1017.43,42.89
300107271,300107258,3997706,0,1017.57,42.89
301102450,301102440,3997706,0,1017.77997,42.899998
302107692,302107682,3997706,0,1018.02997,42.899998
303112921,303112910,3997706,0,1018.17,42.899998
304098798,304098788,3997706,0,1018.20996,42.899998
305104533,305104523,3997706,0,1018.08997,42.899998
306110471,306110461,3997706,0,1018.04,42.899998
307105448,307105438,3997706,0,1017.75,42.899998
308110902,308110891,3997706,0,1017.63,42.899998
309106289,309106279,3997706,0,1017.47,42.899998
310111795,310111785,3997706,0,1017.3,42.91
311096974,311096963,3997706,0,1017.16,42.91
312102881,312102870,3997706,0,1016.97,42.91
313107875,313107865,3997706,0,1016.8,42.91
314112870,314112860,3997706,0,1016.69,42.92
315108072,315108062,3997706,0,1016.41,42.92
316103235,316103224,3997706,0,1016.19995,42.92
317108434,317108423,3997706,0,1015.98,42.92
318113952,318113942,3997706,0,1015.63,42.92
319099575,319099564,3997706,0,1015.43,42.92
320104534,320104523,3997706,0,1015.50995,42.93
321110535,321110525,3997706,0,1015.49,42.93
322105695,322105684,3997706,0,1015.69,42.93
323110900,323110890,3997706,0,1015.93,42.94
324106631,324106622,3997706,0,1016.1,42.93
325112063,325112053,3997706,0,1016.23,42.94
326097471,326097461,3997706,0,1016.35,42.94
327102480,327102470,3997706,0,1016.44995,42.94
328108404,328108394,3997706,0,1016.72,42.95
329104118,329104108,3997706,0,1016.94995,42.95
330109357,330109347,3997706,0,1017.23,42.95
331105492,331105482,3997706,0,1017.55,42.96
332110978,332110968,3997706,0,1017.82996,42.96
337108467,337108458,3997706,0,1018.64996,42.98
338104120,338104110,3997706,0,1019.08997,42.969997
339109883,339109873,3997706,0,1019.66,42.98
340095527,340095517,3997706,0,1020.13,42.98
341101449,341101439,3997706,0,1020.44995,42.989998
342106939,342106929,3997706,0,1020.57,42.989998
343102835,343102824,3997706,0,1020.58997,43.0
344108082,344108072,3997706,0,1020.44,43.0
345104226,345104215,3997706,0,1020.5,43.0
346109232,346109222,3997706,0,1020.69,43.01
347094664,347094654,3997706,0,1021.31,43.01
348100331,348100318,3997706,0,1021.69995,43.01
349105531,349105521,3997706,0,1021.97,43.02
350111037,350111027,3997706,0,1021.99,43.02
351106478,351106468,3997706,0,1021.94,43.03
352111951,352111941,3997706,0,1021.92,43.04
353107823,353107812,3997706,0,1021.74,43.03
354093525,354093514,3997706,0,1021.73,43.03
355099243,355099233,3997706,0,1021.52997,43.04
356104692,356104681,3997706,0,1021.22,43.05
357110157,357110148,3997706,0,1021.00995,43.05
358105818,358105808,3997706,0,1020.48,43.05
359111551,359111541,3997706,0,1019.97,43.059998
360106998,360106988,3997706,0,1019.37,43.059998
361112177,361112167,3997706,0,1019.08997,43.059998
362097924,362097914,3997706,0,1018.83997,43.07
363103097,363103086,3997706,0,1018.47,43.07
364108777,364108766,3997706,0,1018.31,43.07
365103962,365103951,3997706,0,1018.07996,43.07
366109899,366109889,3997706,0,1017.75995,43.07
367114892,367114882,3997706,0,1017.58997,43.079998
368110078,368110068,3997706,0,1017.52997,43.079998
369095537,369095527,3997706,0,1017.42,43.07
370101000,370100990,3997706,0,1017.57,43.07
371106432,371106422,3997706,0,1017.70996,43.079998
372111923,372111913,3997706,0,1017.98,43.07
373108076,373108065,3997706,0,1018.24,43.07
374113313,374113303,3997706,0,1018.54,43.07
375109230,375109220,3997706,0,1018.74,43.07
376095154,376095144,3997706,0,1018.94995,43.07
377100831,377100821,3997706,0,1018.94995,43.079998
378106043,378106033,3997706,0,1018.94,43.079998
379111305,379111295,3997706,0,1018.95996,43.079998
380106955,380106945,3997706,0,1019.31,43.079998
381112437,381112427,3997706,0,1019.82,43.079998
382107634,382107625,3997706,0,1020.41,43.07
383113357,383113346,3997706,0,1020.8,43.079998
384099007,384098997,3997706,0,1021.0,43.079998
385104916,385104906,3997706,0,1021.12,43.079998
386110419,386110409,3997706,0,1021.05,43.079998
387105618,387105607,3997706,0,1021.0,43.079998
388111280,388111269,3997706,0,1021.3,43.09
389106761,389106752,3997706,0,1021.70996,43.09
390111742,390111732,3997706,0,1021.88995,43.09
391097357,391097347,3997706,0,1021.75995,43.09
395109725,395109713,3997706,0,1019.42,43.09
396104688,396104676,3997706,0,1018.69995,43.1
397110338,397110327,3997706,0,1018.1,43.1
398095529,398095519,3997706,0,1017.77997,43.1
399100524,399100514,3997706,0,1017.37,43.1
400105943,400105933,3997706,0,1016.79,43.1
401111690,401111681,3997706,0,1016.44,43.11
402106647,402106637,3997706,0,1016.06,43.1
403112338,403112328,3997706,0,1015.95996,43.1
404108035,404108025,3997706,0,1016.04,43.1
405113010,405113000,3997706,0,1016.35,43.09
406098879,406098869,3997706,0,1016.74,43.1
407104115,407104101,3997706,0,1017.13,43.1
408109153,408109143,3997706,0,1017.41,43.1
