timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
122110327,122109867,3670050,3670050,-6.968462e-05,-0.00013365905,-0.00015629854,-0.0030927213,0.0016916688,-0.027228948,4887,4887,0
122610207,122609771,3670050,3670050,-4.7946487e-05,-0.00011888723,0.0003126402,-0.0029929692,-0.005389064,-0.0463678,5002,5002,0
123110204,123109770,3670050,3670050,-0.0001274344,0.00086982094,-0.00025361858,-0.004556348,-0.005541507,-0.039083946,5001,5001,0
123610221,123609770,3670050,3670050,0.00086804305,0.0010245636,-0.001022092,-0.001750344,0.0039255186,-0.061468,5002,5002,0
124110233,124109769,3670050,3670050,-0.0004999402,0.0013679939,0.00017832828,0.002751601,-0.0052455524,-0.07031888,5002,5002,0
124610543,124610083,3670050,3670050,-0.00074692664,0.0012059038,0.00051011017,-0.00091646455,0.011809289,-0.06508615,5314,5314,0
125110206,125109768,3670050,3670050,-0.00019059611,5.017266e-05,0.00025282765,-0.0013614086,-0.008698875,-0.045806307,5000,5000,0
125610202,125609769,3670050,3670050,-0.00011654951,-0.0001302165,5.9186958e-05,0.0015727429,-0.002554008,-0.038578574,4979,4979,0
126110170,126109770,3670050,3670050,-0.00010454444,-0.0015555244,-0.0002880835,-1.8254139e-05,-0.005826342,-0.0303978,4999,4999,0
126610205,126609770,3670050,3670050,0.00070681586,-0.0015616973,-0.00016659194,-0.0016481773,0.00242533,-0.028386418,5002,5002,0
127110219,127109768,3670050,3670050,-0.00065359747,-0.0011509086,-0.0006396572,-0.002185026,0.002345108,-0.01713326,5000,5000,0
127610173,127609771,3670050,3670050,-0.0003489527,-0.00042242018,-0.00027816792,-0.00047286056,0.0062969453,-0.03350172,4928,4928,0
128110329,128109890,3670050,3670050,-0.00049813394,0.00024078382,-0.00010687541,0.0010103685,0.0040330063,-0.030398266,4888,4888,0
128610206,128609771,3670050,3670050,-0.00082218513,-0.00010012499,-0.00022273224,-0.00061670993,0.017633423,-0.056373253,5002,5002,0
129110204,129109770,3670050,3670050,0.0006299223,0.00046622142,0.00035129048,0.0150198955,0.011693176,-0.07375539,5003,5003,0
129610223,129609771,3670050,3670050,-0.0010356852,0.0010358008,0.00020883075,0.017310914,0.008675258,-0.09775484,5002,5002,0
