timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
265105934,265105903,589858,-0.13067195,0.044501387,0.541984,nan,0,0
266105874,266105849,589858,-0.06631562,0.014651696,0.541984,nan,0,0
267105945,267105918,589858,-0.10522875,0.03256152,0.5314046,nan,0,0
268105878,268105851,589858,-0.2878211,0.0012193314,0.48606387,nan,0,0
269105875,269105850,589858,-0.32972756,-0.013705513,0.44979134,nan,0,0
270105876,270105850,589858,-0.31625763,0.037038956,0.47095034,nan,0,0
271105912,271105887,589858,-0.2923111,0.20270474,0.46490487,nan,0,0
272105875,272105850,589858,-0.2563913,0.04748636,0.520825,nan,0,0
273105923,273105850,589858,-0.21598148,0.020621631,0.5087342,nan,0,0
274105880,274105851,589858,-0.21897481,0.017636672,0.50722283,nan,0,0
275105876,275105850,589858,-0.16359843,0.016144177,0.5404727,nan,0,0
276105875,276105850,589858,-0.042369083,0.013159216,0.5193137,nan,0,0
277105932,277105907,589858,-0.0019592955,0.014651696,0.5178023,nan,0,0
278105874,278105849,589858,-0.10073877,-0.010720539,0.5178023,nan,0,0
279105875,279105849,589858,-0.33721083,0.023606606,0.4467686,nan,0,0
280105875,280105850,589858,-0.35517076,0.022114126,0.45885944,nan,0,0
281105877,281105851,589858,-0.3207476,0.11763313,0.44525728,nan,0,0
282105876,282105850,589858,-0.27584785,0.28777635,0.44827998,nan,0,0
283105948,283105923,589858,-0.22346479,0.8564129,0.36666673,nan,0,0
284105875,284105850,589858,-0.2519013,1.1847595,0.32888284,nan,0,0
285105875,285105850,589858,-0.21298818,1.2161016,0.28807622,nan,0,0
286105874,286105849,589858,-0.24142468,1.4444518,0.24575825,nan,0,0
287105876,287105850,589858,-0.25040466,1.7504112,0.19739486,nan,0,0
288105877,288105851,589858,-0.27584785,2.520533,0.06892958,nan,0,0
290105876,290105850,589858,-0.23394139,2.6414244,0.026611608,nan,0,0
291105875,291105850,589858,-0.25788793,2.720526,-0.008149583,nan,0,0
292105876,292105850,589858,-0.20700155,2.7951503,-0.070115186,nan,0,0
