timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
416108257,0,299.27274,294.26932,19.114864,4663313
417103485,0,281.3064,293.70267,19.099411,4663313
418109029,0,253.03006,270.893,19.101196,4663313
419103750,0,173.0165,193.36595,19.100483,4663313
420109178,0,132.34148,139.55226,19.191507,4663313
421103744,0,141.68198,132.49509,19.10361,4663313
422109298,0,203.76248,186.31207,19.146753,4663313
423104305,0,281.52893,266.56558,19.102448,4663313
424109917,0,304.24118,309.60074,19.182663,4663313
425104689,0,341.94492,329.50995,19.108522,4663313
426109996,0,315.35153,324.62448,19.190702,4663313
427104726,0,320.29556,321.79654,19.114595,4663313
428110097,0,218.61061,226.4093,19.2058,4663313
429104797,0,136.00243,154.02586,19.09789,4663313
430109902,0,124.824265,119.96257,19.175072,4663313
431104439,0,168.07011,150.84637,19.007067,4663313
432110133,0,242.30176,217.93657,19.170158,4663313
433104718,0,392.07898,364.5219,19.048872,4663313
434109814,0,492.431,478.76218,19.169197,4663313
435104424,0,492.6035,494.97067,19.085407,4663313
436109752,0,444.54156,457.11063,19.104343,4663313
437104323,0,467.64426,464.6006,19.118101,4663313
438109728,0,447.00943,448.83887,19.138021,4663313
439104711,0,408.6398,417.22302,19.059502,4663313
440110107,0,443.9941,425.99228,19.16866,4663313
441104972,0,409.70438,413.90997,19.002243,4663313
442110691,0,413.72604,411.8318,19.031204,4663313
443105345,0,390.82214,405.43558,19.031721,4663313
446111037,0,297.73032,289.84113,19.067898,4663313
447105793,0,309.22028,294.05997,18.983416,4663313
448111009,0,303.68478,302.51288,19.077368,4663313
449105616,0,292.7684,302.7655,19.000187,4663313
450111096,0,319.68915,307.66476,19.080404,4663313
451105842,0,308.55676,306.63623,19.000277,4663313
452111106,0,316.51016,304.44333,19.10881,4663313
453106009,0,289.2901,299.60645,19.038866,4663313
454111372,0,216.5355,231.26624,19.079779,4663313
455106031,0,148.7231,160.7345,19.030201,4663313
456111435,0,141.76947,132.72096,19.078886,4663313
457106318,0,177.93672,169.16959,18.998133,4663313
458112235,0,297.2459,263.286,18.963585,4663313
459107045,0,427.7059,400.33432,19.089962,4663313
460112617,0,462.7829,474.03094,19.025845,4663313
461107472,0,467.48474,473.1808,18.946434,4663313
462102199,0,473.269,463.84845,18.953579,4663313
463107702,0,473.73376,486.69437,18.95992,4663313
464113172,0,474.8335,464.0932,19.072632,4663313
465108194,0,465.7042,475.1242,18.922136,4663313
466103116,0,489.61197,495.38333,18.94688,4663313
467108796,0,452.1022,459.94412,18.951881,4663313
468114170,0,424.06866,441.64386,19.014412,4663313
469108934,0,370.27722,374.56403,18.940805,4663313
470103516,0,291.1688,301.55103,18.9668,4663313
471109236,0,203.06204,214.98717,19.039492,4663313
472114742,0,137.08492,136.19183,19.086746,4663313
473109542,0,147.62338,141.518,19.015194,4663313
474104037,0,222.66434,202.38797,19.01984,4663313
475109449,0,259.10236,260.15808,19.014568,4663313
476104260,0,292.82733,284.65414,18.903288,4663313
477109984,0,286.085,282.52722,18.969212,4663313
478104572,0,243.97513,250.09326,18.925798,4663313
479109973,0,232.13162,243.45035,18.907755,4663313
480104904,0,233.06116,237.88565,18.920439,4663313
