timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
42809105,44.538094,44.53379,75.80071,79.72221,0.0,223.9181,0.96268094,1.0,nan,12,3.7111492,3.7111492,3.7111492,3.7111492,3.7111492,3.7111492,3.7111492,3.7111492,3.7111492,3.7111492,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
43109079,44.566765,44.563755,76.70758,76.67192,0.0,229.99333,0.9616685,1.0,nan,12,3.7136462,3.7136462,3.7136462,3.7136462,3.7136462,3.7136462,3.7136462,3.7136462,3.7136462,3.7136462,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
43409270,44.73689,44.606182,68.09876,73.786705,0.0,235.87114,0.9606888,1.0,nan,12,3.717182,3.717182,3.717182,3.717182,3.717182,3.717182,3.717182,3.717182,3.717182,3.717182,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
43709079,44.751225,44.65382,73.977325,71.918594,0.0,241.66193,0.95972365,1.0,nan,12,3.7211516,3.7211516,3.7211516,3.7211516,3.7211516,3.7211516,3.7211516,3.7211516,3.7211516,3.7211516,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
44009106,44.17874,44.608887,82.20025,73.6193,0.0,247.93161,0.9586788,1.0,nan,12,3.7174072,3.7174072,3.7174072,3.7174072,3.7174072,3.7174072,3.7174072,3.7174072,3.7174072,3.7174072,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
44309080,44.315407,44.55537,73.067245,74.7001,0.0,254.26201,0.95762384,1.0,nan,12,3.7129476,3.7129476,3.7129476,3.7129476,3.7129476,3.7129476,3.7129476,3.7129476,3.7129476,3.7129476,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
44609113,44.20168,44.529938,78.518105,74.936226,0.0,260.5342,0.9565785,1.0,nan,12,3.710828,3.710828,3.710828,3.710828,3.710828,3.710828,3.710828,3.710828,3.710828,3.710828,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
44909078,44.90127,44.57126,62.725086,72.08957,0.0,266.30325,0.9556171,1.0,nan,12,3.7142715,3.7142715,3.7142715,3.7142715,3.7142715,3.7142715,3.7142715,3.7142715,3.7142715,3.7142715,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
45209106,45.13447,44.717583,57.930256,65.44236,0.0,271.1262,0.9548135,1.0,nan,12,3.7264652,3.7264652,3.7264652,3.7264652,3.7264652,3.7264652,3.7264652,3.7264652,3.7264652,3.7264652,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
45509080,44.628887,44.819057,72.84535,62.933094,0.0,276.05188,0.9539925,1.0,nan,12,3.7349215,3.7349215,3.7349215,3.7349215,3.7349215,3.7349215,3.7349215,3.7349215,3.7349215,3.7349215,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
45809455,43.894886,44.62561,83.21646,72.28116,0.0,283.04257,0.9528272,1.0,nan,12,3.7188008,3.7188008,3.7188008,3.7188008,3.7188008,3.7188008,3.7188008,3.7188008,3.7188008,3.7188008,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
46109079,44.043983,44.484768,81.2355,76.47318,0.0,289.85092,0.95169264,1.0,nan,12,3.707064,3.707064,3.707064,3.707064,3.707064,3.707064,3.707064,3.707064,3.707064,3.707064,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
46409105,44.23226,44.394833,81.44453,78.18913,0.0,296.53873,0.9505779,1.0,nan,12,3.6995695,3.6995695,3.6995695,3.6995695,3.6995695,3.6995695,3.6995695,3.6995695,3.6995695,3.6995695,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
46709078,44.000973,44.30853,81.56673,79.888176,0.0,303.38342,0.9494372,1.0,nan,12,3.6923773,3.6923773,3.6923773,3.6923773,3.6923773,3.6923773,3.6923773,3.6923773,3.6923773,3.6923773,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
47009122,43.95605,44.246044,79.765854,80.47437,0.0,310.14014,0.94831103,1.0,nan,12,3.6871703,3.6871703,3.6871703,3.6871703,3.6871703,3.6871703,3.6871703,3.6871703,3.6871703,3.6871703,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
47309078,43.84041,44.149574,77.85886,82.080376,0.0,317.13516,0.94714534,1.0,nan,12,3.6791313,3.6791313,3.6791313,3.6791313,3.6791313,3.6791313,3.6791313,3.6791313,3.6791313,3.6791313,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
47609104,43.716164,44.097187,85.40966,81.40328,0.0,323.87296,0.9460226,1.0,nan,12,3.6747656,3.6747656,3.6747656,3.6747656,3.6747656,3.6747656,3.6747656,3.6747656,3.6747656,3.6747656,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
47909078,43.746746,44.01781,81.79505,82.594376,0.0,330.85947,0.94485825,1.0,nan,12,3.668151,3.668151,3.668151,3.668151,3.668151,3.668151,3.668151,3.668151,3.668151,3.668151,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
48209434,43.558468,43.955032,88.2589,83.140396,0.0,337.84518,0.94369406,1.0,nan,12,3.6629193,3.6629193,3.6629193,3.6629193,3.6629193,3.6629193,3.6629193,3.6629193,3.6629193,3.6629193,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
