timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
40021207,-0.45987108,0.045390487,-2.405778,-0.7116652,-0.5123707,-0.35516784,0.23898745,-0.7847742,-0.3264839,-0.22953168,-0.15122736,0.10503274,0.5370572,-0.090840876,-0.09497738,-0.07808608,0.07990372,3.834408e-05,0.0058371406,0.6524761,0.34160662,4.187377e-05
40211891,-0.47738346,0.044805385,-2.4207766,-0.72697693,-0.5297673,-0.37438807,0.21318528,-0.5792864,-0.22459608,-0.1509363,-0.091103554,0.107565224,0.4800464,-0.014677882,-0.018805921,-0.0062357783,0.110569894,3.7141188e-05,0.0056745037,0.6496749,0.34457177,4.1706808e-05
40422022,-0.50390553,0.044449996,-2.4462805,-0.75208485,-0.5562358,-0.40205517,0.18112697,-0.4690547,-0.19465333,-0.13795507,-0.09151822,0.065134406,0.40107095,0.0067645907,0.0023453832,0.011525273,0.09839213,3.6768204e-05,0.005563663,0.6476539,0.346704,4.1787516e-05
40622430,-0.5269589,0.044192635,-2.4680336,-0.7739071,-0.5791904,-0.42598265,0.15369001,-0.38418698,-0.16311136,-0.116078615,-0.0772444,0.05616361,0.38745898,0.04840994,0.043051243,0.049521685,0.11708808,3.659204e-05,0.0054858862,0.64631957,0.34811628,4.166702e-05
40817951,-0.5353369,0.044011958,-2.4796119,-0.78205884,-0.5877906,-0.43513718,0.1428134,-0.3868353,-0.24047029,-0.19953915,-0.16469747,-0.03664303,0.2660905,-0.0657801,-0.07805312,-0.078333616,-0.039179146,3.7308557e-05,0.005386756,0.64384663,0.3506861,4.3119013e-05
41023246,-0.5270284,0.043859433,-2.4784386,-0.77374625,-0.58001864,-0.42805088,0.14652112,-0.5490931,-0.41654813,-0.37768275,-0.34464765,-0.22271782,0.350518,0.032679677,0.020468354,0.019501805,0.054407775,4.0328945e-05,0.005201191,0.6391736,0.35553843,4.6348356e-05
41218766,-0.5175347,0.043772303,-2.4745297,-0.7646017,-0.5709881,-0.41922334,0.15323116,-0.46011195,-0.35150504,-0.32032943,-0.29377908,-0.19581431,0.24582708,-0.012834787,-0.02256918,-0.02306366,0.005187452,3.8832342e-05,0.005081151,0.6359464,0.35888472,4.8834067e-05
41419174,-0.51226777,0.04371882,-2.4702575,-0.7593177,-0.56580484,-0.41415584,0.15774834,-0.20722395,-0.12704104,-0.10404444,-0.08424586,-0.010595977,0.15683746,-0.040156066,-0.04789251,-0.048291028,-0.028190792,3.6961585e-05,0.005054009,0.63520235,0.3596573,4.9317707e-05
41619626,-0.50611556,0.043686967,-2.4655704,-0.75318986,-0.559753,-0.4081898,0.16323699,-0.13163501,-0.16009241,-0.14748001,-0.13459343,-0.073951125,0.20676553,0.0359205,0.018998265,0.009808481,-0.009301722,3.608746e-05,0.005025846,0.6344123,0.36047578,4.999789e-05
41819989,-0.50061977,0.043675885,-2.4622712,-0.7479655,-0.55439454,-0.4027394,0.16873564,-0.14614248,-0.24217135,-0.23682201,-0.22898376,-0.1796993,0.15829593,0.012672007,-0.00923413,-0.023511231,-0.06651455,3.7110567e-05,0.005008526,0.6337566,0.36114687,5.0831335e-05
