timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
669733227,inf,0,0,0,0,0
670740501,inf,0,0,0,0,0
671747413,inf,0,0,0,0,0
672753994,inf,0,0,0,0,0
673756411,inf,0,0,0,0,0
674763259,inf,0,0,0,0,0
675769916,inf,0,0,0,0,0
676771993,inf,0,0,0,0,0
677774005,inf,0,0,0,0,0
678776017,inf,0,0,0,0,0
679783264,inf,0,0,0,0,0
680785048,inf,0,0,0,0,0
681791909,inf,0,0,0,0,0
682799132,inf,0,0,0,0,0
683801193,inf,0,0,0,0,0
684812735,inf,0,0,0,0,0
685814754,inf,0,0,0,0,0
686821936,inf,0,0,0,0,0
687823975,inf,0,0,0,0,0
688830651,inf,0,0,0,0,0
689842861,inf,0,0,0,0,0
690844839,inf,0,0,0,0,0
691851397,inf,0,0,0,0,0
692853463,inf,0,0,0,0,0
693860701,inf,0,0,0,0,0
694862741,inf,0,0,0,0,0
697878726,inf,0,0,0,0,0
698880713,inf,0,0,0,0,0
699882740,inf,0,0,0,0,0
700884793,inf,0,0,0,0,0
701891430,inf,0,0,0,0,0
702893572,inf,0,0,0,0,0
703900716,inf,0,0,0,0,0
704902740,inf,0,0,0,0,0
705909322,inf,0,0,0,0,0
706911348,inf,0,0,0,0,0
707918552,inf,0,0,0,0,0
708925546,inf,0,0,0,0,0
709932124,inf,0,0,0,0,0
710934157,inf,0,0,0,0,0
711936204,inf,0,0,0,0,0
712938562,inf,0,0,0,0,0
713940619,inf,0,0,0,0,0
714942727,inf,0,0,0,0,0
715944637,inf,0,0,0,0,0
716951311,inf,0,0,0,0,0
717953357,inf,0,0,0,0,0
718960605,inf,0,0,0,0,0
719962622,inf,0,0,0,0,0
720969209,inf,0,0,0,0,0
721971248,inf,0,0,0,0,0
722973369,inf,0,0,0,0,0
723980566,inf,0,0,0,0,0
724982311,inf,0,0,0,0,0
725989192,inf,0,0,0,0,0
726991285,inf,0,0,0,0,0
727998510,inf,0,0,0,0,0
729000572,inf,0,0,0,0,0
730002557,inf,0,0,0,0,0
731004629,inf,0,0,0,0,0
732011272,inf,0,0,0,0,0
733018454,inf,0,0,0,0,0
734020592,inf,0,0,0,0,0
735022522,inf,0,0,0,0,0
736029149,inf,0,0,0,0,0
737031204,inf,0,0,0,0,0
738033237,inf,0,0,0,0,0
739040534,inf,0,0,0,0,0
740042577,inf,0,0,0,0,0
741049127,inf,0,0,0,0,0
742051157,inf,0,0,0,0,0
743053216,inf,0,0,0,0,0
744060501,inf,0,0,0,0,0
745062489,inf,0,0,0,0,0
746064491,inf,0,0,0,0,0
747066251,inf,0,0,0,0,0
748068341,inf,0,0,0,0,0
749070394,inf,0,0,0,0,0
750072438,inf,0,0,0,0,0
751074421,inf,0,0,0,0,0
752081647,inf,0,0,0,0,0
753083662,inf,0,0,0,0,0
754095297,inf,0,0,0,0,0
755102444,inf,0,0,0,0,0
756104469,inf,0,0,0,0,0
757111079,inf,0,0,0,0,0
758113241,inf,0,0,0,0,0
759115209,inf,0,0,0,0,0
760122416,inf,0,0,0,0,0
761133956,inf,0,0,0,0,0
762141222,inf,0,0,0,0,0
763147818,inf,0,0,0,0,0
764149837,inf,0,0,0,0,0
769169879,inf,0,0,0,0,0
770171837,inf,0,0,0,0,0
771179106,inf,0,0,0,0,0
772186072,inf,0,0,0,0,0
773187740,inf,0,0,0,0,0
774194693,inf,0,0,0,0,0
775201874,inf,0,0,0,0,0
776203901,inf,0,0,0,0,0
777210586,inf,0,0,0,0,0
778222761,inf,0,0,0,0,0
779224794,inf,0,0,0,0,0
780231331,inf,0,0,0,0,0
781233381,inf,0,0,0,0,0
782245551,inf,0,0,0,0,0
783252164,inf,0,0,0,0,0
784259345,inf,0,0,0,0,0
785261381,inf,0,0,0,0,0
786268055,inf,0,0,0,0,0
787270113,inf,0,0,0,0,0
788272094,inf,0,0,0,0,0
789274237,inf,0,0,0,0,0
790281162,inf,0,0,0,0,0
791288256,inf,0,0,0,0,0
792294967,inf,0,0,0,0,0
793302169,inf,0,0,0,0,0
794308780,inf,0,0,0,0,0
795310838,inf,0,0,0,0,0
