timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
53301902,63.31945298563838,10.273019493544538,58.16027,96.32857,-0.0,0.5532593,0.89421785,0.0,2,0,0,0
53507198,63.31946346015472,10.272997137079543,58.379944,96.52855,-0.0,0.55373436,0.8942231,0.0,2,0,0,0
53707623,63.31947417266934,10.272972841350935,58.578796,96.70729,-0.0,0.55385536,0.89393795,0.0,2,0,0,0
53908018,63.31948539324141,10.272946064597308,58.74961,96.858215,-0.0,0.5539773,0.89365935,0.0,2,0,0,0
54108422,63.31949716068725,10.272916792975762,58.898556,96.98705,-0.0,0.5540886,0.8933835,0.0,2,0,0,0
54303942,63.31950935086762,10.27288611744485,59.049427,97.11793,-0.0,0.5538067,0.8938681,0.0,2,0,0,0
54504350,63.31952263172691,10.272852858846639,59.2103,97.258804,-0.0,0.55388284,0.89360136,0.0,2,0,0,0
54709648,63.319537031514535,10.272816901116947,59.34434,97.37283,-0.0,0.554341,0.89362824,0.0,2,0,0,0
54910055,63.31955171243309,10.272779684489748,59.458294,97.4677,-0.0,0.55444825,0.8944137,0.0,2,0,0,0
55110462,63.319567105883515,10.272740266444092,59.570988,97.559586,-0.0,0.55448127,0.8941502,0.0,2,0,0,0
55310870,63.3195830249968,10.272698446548198,59.643738,97.612236,-0.0,0.5545076,0.893892,0.0,2,0,0,0
55511278,63.31959937261521,10.272654287419174,59.694126,97.64261,-0.0,0.554517,0.8936343,0.0,2,0,0,0
55711686,63.319616241261244,10.272607949823277,59.725338,97.65394,-0.0,0.5545052,0.8944185,0.0,2,0,0,0
55902320,63.31963279036294,10.272561813711476,59.739758,97.64836,-0.0,0.5541164,0.89386696,0.0,2,0,0,0
56102726,63.319650787923,10.272511347689006,59.757217,97.64571,-0.0,0.55409247,0.89360857,0.0,2,0,0,0
56308022,63.319669902059985,10.272457596056006,59.773453,97.64195,-0.0,0.5544323,0.8936451,0.0,2,0,0,0
56513318,63.31968948325256,10.272402161808849,59.803253,97.65195,-0.0,0.5543952,0.89443785,0.0,2,0,0,0
56708838,63.31970814176184,10.272349038273555,59.75727,97.58586,-0.0,0.5543658,0.89418346,0.0,2,0,0,0
56909246,63.31972726410155,10.272294321859569,59.51825,97.326744,-0.0,0.5543042,0.8939241,0.0,2,0,0,0
57109656,63.3197464899891,10.272239126353536,59.118355,96.906845,-0.0,0.5541883,0.8936585,0.0,2,0,0,0
57310062,63.31976599321935,10.272183282781324,58.625397,96.39369,-0.0,0.5540337,0.8944352,0.0,2,0,0,0
57510470,63.31978585056684,10.272126339969699,58.090446,95.83994,-0.0,0.5539055,0.89416075,0.0,2,0,0,0
57710924,63.31980594765082,10.272067968461341,57.508778,95.23747,-0.0,0.5537469,0.89387584,0.0,2,0,0,0
57911286,63.31982618456935,10.272008176659357,56.921875,94.63057,-0.0,0.55360156,0.89464116,0.0,2,0,0,0
58111694,63.31984668979702,10.271946795930704,56.379406,94.0679,-0.0,0.5534768,0.8943532,0.0,2,0,0,0
58312102,63.31986768344278,10.271883991220259,55.91535,93.58395,-0.0,0.5533772,0.89406586,0.0,2,0,0,0
58502734,63.31988807596015,10.271823318284993,55.536713,93.18471,-0.0,0.55297804,0.8945378,0.0,2,0,0,0
58708029,63.319910404454504,10.271757024699733,55.192837,92.82073,-0.0,0.5532781,0.8945365,0.0,2,0,0,0
58903550,63.319931879667315,10.271692871375814,54.961693,92.57039,-0.0,0.5529241,0.8939514,0.0,2,0,0,0
59108848,63.319954477181014,10.271624376504507,54.836662,92.425354,-0.0,0.55331314,0.8939444,0.0,2,0,0,0
59304366,63.31997605310837,10.271558282598619,54.780937,92.34953,-0.0,0.55300415,0.8944051,0.0,2,0,0,0
59504822,63.3199983092812,10.271490167877324,54.798447,92.347046,-0.0,0.55309266,0.8941071,0.0,2,0,0,0
59710070,63.32002102414435,10.271419880831157,54.88246,92.41113,-0.0,0.55354226,0.89408773,0.0,2,0,0,0
59910479,63.320043047303166,10.271351061148,55.02838,92.53688,-0.0,0.55360997,0.8937808,0.0,2,0,0,0
60110886,63.32006497698363,10.271282726843344,55.29324,92.78143,-0.0,0.55367285,0.89451504,0.0,2,0,0,0
60311294,63.32008684502153,10.271214766976696,55.60502,93.07152,-0.0,0.5536721,0.894177,0.0,2,0,0,0
60511702,63.32010832948725,10.27114727463048,55.92749,93.37349,-0.0,0.55368155,0.89383864,0.0,2,0,0,0
60712110,63.320129647609704,10.27108025804657,56.255707,93.6839,-0.0,0.55377924,0.8945538,0.0,2,0,0,0
60912518,63.32015103815429,10.271013125986519,56.574986,93.98428,-0.0,0.55392265,0.8942232,0.0,2,0,0,0
61112926,63.320172512236866,10.27094593147421,56.894794,94.28389,-0.0,0.55404127,0.8938902,0.0,2,0,0,0
61303558,63.32019297759251,10.270882291011652,57.2241,94.593094,-0.0,0.5537783,0.8943257,0.0,2,0,0,0
61508857,63.320215242843,10.270814183964175,57.62665,94.97585,-0.0,0.55424106,0.8942812,0.0,2,0,0,0
61709262,63.32023726452343,10.270748598979855,58.039257,95.368256,-0.0,0.5542918,0.89395314,0.0,2,0,0,0
61909674,63.32025966349832,10.270684493233563,58.492146,95.801445,-0.0,0.55437213,0.8936324,0.0,2,0,0,0
62100345,63.32028147374839,10.270624818968175,58.94476,96.234055,-0.0,0.5540741,0.89407516,0.0,2,0,0,0
62310489,63.32030611932378,10.270560636439642,59.463367,96.73227,-0.0,0.55445826,0.89403,0.0,2,0,0,0
62510894,63.320330346152936,10.27050213751758,60.030178,97.279076,-0.0,0.55450344,0.89371175,0.0,2,0,0,0
62711302,63.32035542550935,10.27044581507763,60.60777,97.83687,-0.0,0.55455995,0.8933912,0.0,2,0,0,0
62906822,63.32038065750072,10.270393054880882,61.169617,98.378716,-0.0,0.5546179,0.89411265,0.0,2,0,0,0
63102341,63.320406487542385,10.270342576330336,61.74392,98.933014,-0.0,0.55424166,0.89350975,0.0,2,0,0,0
63307638,63.32043440546606,10.270292786837347,62.373775,99.54257,-0.0,0.55466795,0.89346975,0.0,2,0,0,0
63508046,63.320462556876905,10.270247524907532,62.99739,100.146194,-0.0,0.55466825,0.8941909,0.0,2,0,0,0
63708454,63.32049144249121,10.27020550336555,63.605286,100.73438,-0.0,0.5546846,0.8938742,0.0,2,0,0,0
63908862,63.320520849610666,10.270166640636019,64.2106,101.3197,-0.0,0.5547562,0.8935661,0.0,2,0,0,0
64109270,63.320550891870106,10.27013143060709,64.86822,101.957016,-0.0,0.5547532,0.89325875,0.0,2,0,0,0
64309679,63.32058139622924,10.27009979200806,65.56556,102.63466,-0.0,0.5548164,0.8939893,0.0,2,0,0,0
64510086,63.32061251199042,10.27007165362315,66.2375,103.286705,-0.0,0.5548861,0.8936888,0.0,2,0,0,0
64710494,63.3206442262792,10.270048152395272,66.89782,103.92732,-0.0,0.55493116,0.89339143,0.0,2,0,0,0
64910902,63.32067648407669,10.27002960650171,67.55843,104.56773,-0.0,0.5549715,0.8930967,0.0,2,0,0,0
