state_output_1,state_output_2,state_output_3,state_output_4,state_output_5,state_output_6,state_output_7,state_output_8,state_output_9,state_output_10,input_output_1,input_output_2,input_output_3,input_output_4,input_output_5,input_output_6,input_output_7,input_output_8
0.251052360582639,-0.0712246146040835,-0.0243878680638004,0.965029960913093,0.0241040331708596,-0.00201797604828751,-0.0264801457299214,19.7400705757099,-0.618685106144041,0.823751792677694,0,-0,0,-0,0.000281844409627881,0.0761453882211557,-0.103314763971489,0.632854259137188
0.251097972255606,-0.0711235588304132,-0.0243442700837971,0.965024424814188,0.0240956363786283,-0.00214234930140407,-0.0265184779345265,19.7372592630602,-0.621540763953945,0.825060979824602,0,-0,0,-0,0.000185710887189475,0.0761596530310175,-0.103302411500931,0.632832356629385
0.251143583928573,-0.071022503056743,-0.0243006721037938,0.965018888715283,0.0240872395863971,-0.00226672255452063,-0.0265568101391315,19.7344496335214,-0.624396103211903,0.82637221444289,0,-0,0,-0,8.95773647510694e-05,0.0761739178408792,-0.103290059030373,0.632810454121583
0.25118919560154,-0.0709214472830727,-0.0242570741237905,0.965013352616377,0.0240788427941658,-0.00239109580763719,-0.0265951423437366,19.7316416875839,-0.627251123256442,0.827685496048524,0,-0,0,-0,-6.55615768733672e-06,0.076188182650741,-0.103277706559816,0.63278855161378
0.251234807274507,-0.0708203915094025,-0.0242134761437872,0.965007816517472,0.0240704460019345,-0.00251546906075375,-0.0266334745483416,19.728835425738,-0.630105823426123,0.829000824157117,0,-0,0,-0,-0.000102689680125743,0.0762024474606027,-0.103265354089258,0.632766649105978
0.251280418947474,-0.0707193357357322,-0.0241698781637839,0.965002280418566,0.0240620492097033,-0.00263984231387031,-0.0266718067529467,19.7260308484735,-0.632960203059589,0.830318198283919,0,-0,0,-0,-0.000198823202564149,0.0762167122704645,-0.103253001618701,0.632744746598175
0.251326030620442,-0.0706182799620619,-0.0241262801837806,0.964996744319661,0.024053652417472,-0.00276421556698687,-0.0267101389575517,19.7232279562799,-0.635814261495476,0.831637617943827,0,-0,0,-0,-0.000294956725002555,0.0762309770803263,-0.103240649148143,0.632722844090373
0.251371642293409,-0.0705172241883917,-0.0240826822037773,0.964991208220755,0.0240452556252408,-0.00288858882010343,-0.0267484711621568,19.7204267496466,-0.638667998072514,0.832959082651381,0,-0,0,-0,-0.000391090247440961,0.076245241890188,-0.103228296677585,0.63270094158257
0.251417253966376,-0.0704161684147214,-0.024039084223774,0.96498567212185,0.0240368588330095,-0.00301296207321999,-0.0267868033667618,19.7176272290626,-0.641521412129436,0.834282591920763,0,-0,0,-0,-0.000487223769879367,0.0762595067000498,-0.103215944207028,0.632679039074768
0.251462865639343,-0.0703151126410511,-0.0239954862437707,0.964980136022945,0.0240284620407782,-0.00313733532633655,-0.0268251355713669,19.7148293950166,-0.644374503005031,0.835608145265792,0,-0,0,-0,-0.000583357292317773,0.0762737715099115,-0.10320359173647,0.632657136566965
