timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
319356261,319355733,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319361186,319360619,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319366040,319365508,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319370938,319370395,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319375847,319375283,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319380697,319380171,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319385590,319385059,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319390479,319389947,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319395368,319394836,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319400247,319399723,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319405141,319404611,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319410032,319409499,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319414915,319414387,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319419832,319419277,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319424743,319424163,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319429585,319429051,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319434473,319433940,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319439384,319438828,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319444241,319443716,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319449143,319448603,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319454021,319453491,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319458946,319458379,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319463792,319463267,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319468689,319468155,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319473601,319473044,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319478468,319477933,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319483340,319482819,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319488320,319487708,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319493125,319492595,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319498011,319497483,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319502991,319502371,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319507792,319507259,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319512673,319512147,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319517592,319517035,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319522453,319521923,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319527398,319526830,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319532317,319531699,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319537107,319536587,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319542001,319541475,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319546936,319546363,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319551781,319551252,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319556671,319556139,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319561548,319561027,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319566474,319565931,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319571334,319570803,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319576229,319575692,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319581108,319580579,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319586001,319585467,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319590882,319590355,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319595780,319595243,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319600656,319600131,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319605547,319605020,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319610444,319609907,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
